Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,435.4,436.7,427.0,433.2,427.4,427.75,429.41,500.4,366.2,"78,95,024","3,39,01,73,527.20","1,32,638"
2023-02-27,EQ,427.75,428.05,413.05,427.75,418.55,417.95,418.13,494.4,366.2,"1,04,38,928","4,36,48,09,298.30","1,50,655"
2023-02-28,EQ,419.0,424.8,419.0,417.95,420.65,420.7,421.85,494.4,366.2,"96,52,088","4,07,16,86,157.50","1,10,730"
2023-03-01,EQ,421.5,428.0,421.5,420.7,426.1,426.0,425.74,494.4,366.2,"75,95,114","3,23,35,60,212.05","96,817"
2023-03-02,EQ,426.0,426.25,419.55,426.0,420.8,420.45,422.29,494.4,366.2,"56,61,103","2,39,06,19,755.30","96,472"
2023-03-03,EQ,422.6,430.5,421.95,420.45,427.85,428.0,426.38,494.4,366.2,"80,27,522","3,42,27,37,474.30","1,03,296"
2023-03-06,EQ,430.95,441.45,430.0,428.0,440.5,440.1,437.38,494.4,366.2,"1,13,07,064","4,94,54,64,572.30","1,30,804"
2023-03-08,EQ,439.0,441.25,436.1,440.1,439.2,439.3,438.57,494.4,366.2,"78,50,052","3,44,27,58,562.70","1,05,165"
2023-03-09,EQ,439.1,442.05,431.3,439.3,432.45,432.2,435.16,494.4,366.2,"56,96,737","2,47,90,00,288.75","81,965"
2023-03-10,EQ,433.0,437.8,430.8,432.2,436.8,435.85,435.35,494.4,366.2,"1,04,17,015","4,53,50,67,391.15","1,21,332"
2023-03-13,EQ,436.1,437.0,419.1,435.85,423.1,422.4,426.9,494.4,366.2,"87,80,169","3,74,82,14,101.50","1,23,062"
2023-03-14,EQ,422.85,424.2,413.4,422.4,417.8,416.65,418.3,494.4,366.2,"91,89,043","3,84,37,66,959.95","1,41,393"
2023-03-15,EQ,422.0,425.0,410.1,416.65,413.35,411.35,416.48,494.4,366.2,"76,81,009","3,19,89,81,535.45","1,29,806"
2023-03-16,EQ,413.3,418.5,405.0,411.35,417.0,415.7,412.66,494.4,366.2,"1,18,54,885","4,89,20,03,307.30","1,54,665"
2023-03-17,EQ,419.0,423.45,414.55,415.7,419.0,419.0,418.77,494.4,366.2,"86,58,701","3,62,60,08,176.85","1,09,426"
2023-03-20,EQ,415.6,416.95,405.5,419.0,411.0,410.75,409.3,494.4,366.2,"1,00,75,022","4,12,36,77,514.35","1,89,396"
2023-03-21,EQ,412.85,413.9,407.7,410.75,412.5,412.55,411.33,494.4,366.2,"73,91,950","3,04,05,47,652.55","1,27,524"
2023-03-22,EQ,416.0,418.4,413.75,412.55,415.1,416.1,416.03,494.4,366.2,"57,28,054","2,38,30,48,835.90","85,058"
2023-03-23,EQ,416.0,422.5,416.0,416.1,419.2,419.15,420.0,494.4,366.2,"98,17,460","4,12,33,36,399.35","1,09,864"
2023-03-24,EQ,419.0,420.55,414.8,419.15,416.5,416.5,417.52,494.4,366.2,"68,77,960","2,87,16,99,476.65","97,104"
2023-03-27,EQ,416.0,418.5,410.25,416.5,412.5,412.05,413.4,494.4,366.2,"74,33,933","3,07,32,11,591.20","1,52,524"
2023-03-28,EQ,414.15,414.5,400.45,412.05,402.45,401.6,405.25,494.4,366.2,"95,53,659","3,87,16,06,872.75","1,57,234"
2023-03-29,EQ,401.6,410.6,401.6,401.6,409.95,409.2,406.81,494.4,366.2,"1,04,78,506","4,26,28,01,721.70","1,15,284"
2023-03-31,EQ,411.35,421.75,411.0,409.2,421.0,420.8,417.42,494.4,366.2,"1,10,37,881","4,60,74,67,781.15","1,41,513"
2023-04-03,EQ,423.0,424.95,419.5,420.8,424.25,424.25,422.32,494.4,366.2,"69,48,329","2,93,44,37,512.10","87,550"
2023-04-05,EQ,424.25,428.75,423.15,424.25,426.2,426.55,426.05,494.4,366.2,"88,21,326","3,75,83,64,940.45","90,806"
2023-04-06,EQ,426.5,439.3,423.75,426.55,437.15,437.65,433.76,494.4,366.2,"1,09,07,492","4,73,12,08,323.35","1,18,995"
2023-04-10,EQ,452.05,473.3,452.0,437.65,460.9,461.3,465.71,494.4,366.2,"5,04,62,653","23,50,09,60,587.70","5,10,047"
2023-04-11,EQ,463.75,463.75,455.8,461.3,459.4,458.7,459.17,494.4,366.2,"1,44,95,222","6,65,57,22,381.60","2,81,916"
2023-04-12,EQ,459.35,468.6,458.2,458.7,464.95,465.5,464.15,494.4,366.2,"1,35,52,440","6,29,03,31,375.85","1,44,949"
2023-04-13,EQ,464.95,472.0,463.25,465.5,468.85,469.5,468.31,494.4,366.2,"1,27,33,670","5,96,33,27,152.20","1,69,558"
2023-04-17,EQ,471.0,473.0,465.8,469.5,472.0,472.15,470.18,494.4,366.2,"1,07,10,167","5,03,57,29,604.95","1,24,351"
2023-04-18,EQ,475.0,483.35,468.1,472.15,472.4,473.0,475.72,494.4,366.2,"1,61,40,056","7,67,82,27,613.10","1,79,632"
2023-04-19,EQ,473.0,475.5,467.85,473.0,469.3,469.4,471.98,494.4,366.2,"73,68,610","3,47,78,18,420.75","1,25,485"
2023-04-20,EQ,473.7,479.7,469.4,469.4,475.5,476.8,473.98,494.4,366.2,"1,42,64,206","6,76,09,45,814.45","1,72,014"
2023-04-21,EQ,476.7,476.7,467.2,476.8,471.2,471.2,470.72,494.4,366.2,"84,78,118","3,99,08,28,795.90","1,07,355"
2023-04-24,EQ,471.2,476.0,468.3,471.2,474.4,475.2,472.67,494.4,366.2,"80,20,593","3,79,10,68,991.80","1,01,946"
2023-04-25,EQ,475.2,476.4,471.9,475.2,472.5,473.55,474.31,494.4,366.2,"68,88,352","3,26,72,00,557.75","76,271"
2023-04-26,EQ,473.0,479.5,472.6,473.55,477.45,478.2,477.25,494.4,366.2,"77,91,425","3,71,84,53,016.55","1,08,326"
